%  columns="iteration, evaluation, sigma, max axis length, min axis length, all principal axes lengths (sorted square roots of eigenvalues of C)" (startseed=212695, 2017/09/27 23:0:50.97)
59 709 1.682224e-01 1.271223e+00 6.999778e-01 6.999778e-01 7.348464e-01 7.968471e-01 8.004048e-01 8.079842e-01 8.205913e-01 8.537553e-01 8.683300e-01 8.693279e-01 9.021358e-01 9.211875e-01 9.271769e-01 9.636839e-01 1.032509e+00 1.035230e+00 1.087487e+00 1.197831e+00 1.271223e+00 
60 721 1.693962e-01 1.264018e+00 6.955516e-01 6.955516e-01 7.303228e-01 7.943658e-01 7.987063e-01 8.064270e-01 8.167543e-01 8.525944e-01 8.622007e-01 8.914640e-01 8.987812e-01 9.188175e-01 9.233229e-01 9.700964e-01 1.028609e+00 1.057698e+00 1.081143e+00 1.191370e+00 1.264018e+00 
61 733 1.701074e-01 1.263446e+00 6.912585e-01 6.912585e-01 7.274938e-01 7.890449e-01 7.954622e-01 8.033844e-01 8.117867e-01 8.489289e-01 8.710688e-01 8.929127e-01 8.999284e-01 9.140232e-01 9.204033e-01 9.737702e-01 1.027694e+00 1.062894e+00 1.077502e+00 1.184412e+00 1.263446e+00 
62 745 1.764331e-01 1.266377e+00 6.865013e-01 6.865013e-01 7.241910e-01 7.849856e-01 7.921474e-01 7.980746e-01 8.083516e-01 8.455581e-01 8.726713e-01 8.957131e-01 9.003228e-01 9.159199e-01 9.305202e-01 9.745958e-01 1.023929e+00 1.060688e+00 1.088038e+00 1.176619e+00 1.266377e+00 
63 757 1.785565e-01 1.269287e+00 6.820827e-01 6.820827e-01 7.199932e-01 7.839849e-01 7.938738e-01 7.969048e-01 8.055556e-01 8.410435e-01 8.764703e-01 8.931192e-01 8.969311e-01 9.135192e-01 9.333155e-01 9.742379e-01 1.026053e+00 1.062330e+00 1.090573e+00 1.172465e+00 1.269287e+00 
64 769 1.765013e-01 1.270736e+00 6.792114e-01 6.792114e-01 7.154488e-01 7.812014e-01 7.927653e-01 7.945161e-01 8.009646e-01 8.457900e-01 8.720827e-01 8.928679e-01 8.975003e-01 9.083589e-01 9.320175e-01 9.739178e-01 1.034224e+00 1.057772e+00 1.099505e+00 1.177908e+00 1.270736e+00 
65 781 1.784339e-01 1.276767e+00 6.760629e-01 6.760629e-01 7.110395e-01 7.809458e-01 7.912470e-01 7.931014e-01 8.063462e-01 8.461618e-01 8.697748e-01 8.903273e-01 8.928735e-01 9.120054e-01 9.282988e-01 9.735378e-01 1.029759e+00 1.056715e+00 1.112816e+00 1.181008e+00 1.276767e+00 
66 793 1.757056e-01 1.277727e+00 6.723005e-01 6.723005e-01 7.083151e-01 7.773190e-01 7.876601e-01 7.945840e-01 8.048813e-01 8.454215e-01 8.663754e-01 8.847807e-01 8.894431e-01 9.149746e-01 9.301095e-01 9.759630e-01 1.032198e+00 1.051443e+00 1.118225e+00 1.183765e+00 1.277727e+00 
67 805 1.739052e-01 1.295826e+00 6.696043e-01 6.696043e-01 7.038844e-01 7.742205e-01 7.852832e-01 7.906307e-01 8.004558e-01 8.470097e-01 8.650270e-01 8.811880e-01 8.884062e-01 9.087608e-01 9.273590e-01 9.801679e-01 1.032552e+00 1.047975e+00 1.126387e+00 1.180957e+00 1.295826e+00 
68 817 1.699084e-01 1.295178e+00 6.653819e-01 6.653819e-01 7.036096e-01 7.694634e-01 7.835898e-01 7.896559e-01 8.010133e-01 8.449312e-01 8.624072e-01 8.754345e-01 8.876631e-01 9.036683e-01 9.222945e-01 9.770212e-01 1.035085e+00 1.044172e+00 1.126388e+00 1.187233e+00 1.295178e+00 
69 829 1.628346e-01 1.289914e+00 6.613726e-01 6.613726e-01 7.009898e-01 7.640146e-01 7.842229e-01 7.890963e-01 8.030266e-01 8.429626e-01 8.599603e-01 8.735694e-01 8.880216e-01 8.994605e-01 9.183123e-01 9.754833e-01 1.030881e+00 1.041283e+00 1.120547e+00 1.195466e+00 1.289914e+00 
70 841 1.565298e-01 1.300470e+00 6.575735e-01 6.575735e-01 6.963364e-01 7.610796e-01 7.797581e-01 7.855143e-01 8.073107e-01 8.442840e-01 8.584369e-01 8.695254e-01 8.845296e-01 8.932818e-01 9.167295e-01 9.741438e-01 1.027079e+00 1.039985e+00 1.114146e+00 1.198491e+00 1.300470e+00 
71 853 1.543064e-01 1.298829e+00 6.555769e-01 6.555769e-01 6.965354e-01 7.576111e-01 7.746496e-01 7.896521e-01 8.182898e-01 8.432676e-01 8.566541e-01 8.646183e-01 8.865647e-01 8.924724e-01 9.126719e-01 9.714035e-01 1.029374e+00 1.039713e+00 1.108707e+00 1.201981e+00 1.298829e+00 
72 865 1.570920e-01 1.293333e+00 6.520986e-01 6.520986e-01 6.927179e-01 7.543747e-01 7.729252e-01 7.859003e-01 8.223170e-01 8.432626e-01 8.527980e-01 8.610001e-01 8.853515e-01 8.976674e-01 9.090368e-01 9.907839e-01 1.031848e+00 1.040637e+00 1.113556e+00 1.209602e+00 1.293333e+00 
73 877 1.581684e-01 1.284947e+00 6.480909e-01 6.480909e-01 6.899311e-01 7.543845e-01 7.707303e-01 7.820753e-01 8.309768e-01 8.406042e-01 8.488647e-01 8.582680e-01 8.816545e-01 8.997215e-01 9.171792e-01 9.935969e-01 1.024494e+00 1.039946e+00 1.111745e+00 1.213890e+00 1.284947e+00 
74 889 1.509138e-01 1.281114e+00 6.453980e-01 6.453980e-01 6.856439e-01 7.542486e-01 7.692741e-01 7.801474e-01 8.308402e-01 8.381872e-01 8.472374e-01 8.542331e-01 8.782178e-01 8.980857e-01 9.148155e-01 9.924518e-01 1.017722e+00 1.046072e+00 1.107808e+00 1.208641e+00 1.281114e+00 
75 901 1.428783e-01 1.279882e+00 6.425694e-01 6.425694e-01 6.825126e-01 7.534808e-01 7.662607e-01 7.751042e-01 8.283627e-01 8.339002e-01 8.426433e-01 8.517667e-01 8.774694e-01 8.973495e-01 9.110501e-01 9.869853e-01 1.012321e+00 1.052134e+00 1.104880e+00 1.210109e+00 1.279882e+00 
76 913 1.339966e-01 1.272260e+00 6.383645e-01 6.383645e-01 6.777116e-01 7.519742e-01 7.625201e-01 7.731757e-01 8.278389e-01 8.342128e-01 8.407784e-01 8.487197e-01 8.735114e-01 8.928434e-01 9.129024e-01 9.837460e-01 1.010575e+00 1.051064e+00 1.104215e+00 1.216373e+00 1.272260e+00 
77 925 1.278857e-01 1.266193e+00 6.350906e-01 6.350906e-01 6.740429e-01 7.508949e-01 7.638150e-01 7.690090e-01 8.256420e-01 8.318005e-01 8.391408e-01 8.461092e-01 8.717189e-01 8.872868e-01 9.103591e-01 9.806867e-01 1.005679e+00 1.047420e+00 1.101862e+00 1.227939e+00 1.266193e+00 
78 937 1.235468e-01 1.259066e+00 6.315495e-01 6.315495e-01 6.702615e-01 7.486540e-01 7.589020e-01 7.647242e-01 8.230770e-01 8.291813e-01 8.396599e-01 8.536866e-01 8.674736e-01 8.838523e-01 9.118159e-01 9.758223e-01 1.001850e+00 1.044054e+00 1.097740e+00 1.231172e+00 1.259066e+00 
79 949 1.202416e-01 1.261481e+00 6.284436e-01 6.284436e-01 6.655749e-01 7.459528e-01 7.581081e-01 7.607479e-01 8.175461e-01 8.245261e-01 8.370618e-01 8.600400e-01 8.785096e-01 8.875731e-01 9.071107e-01 9.725893e-01 9.964869e-01 1.039449e+00 1.089949e+00 1.230647e+00 1.261481e+00 
