%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=212695, 2017/09/27 23:0:50.97)
17 205  3.012658405674905282e+00 0 0 1.196091e+00 1.042897e+00 1.983451e-01 1.984344e-01 1.838221e+00 2.159372e+00 1.806583e+00 9.158797e-01 1.367501e+00 1.914487e+00 1.196526e+00 1.136164e-01 1.600200e+00 6.162649e-01 1.087055e+00 1.202476e+00 9.329493e-01 1.531151e+00 
18 217  3.484772969408759913e+00 0 0 1.414131e+00 1.608413e+00 7.207188e-01 1.335668e-01 1.225664e+00 1.438680e+00 1.900428e+00 1.254682e+00 1.525167e+00 1.592609e+00 8.069050e-01 -7.511859e-02 1.807182e+00 3.750159e-01 7.961034e-01 1.207372e+00 1.569704e+00 1.463919e+00 
19 229  2.936056823313262676e+00 0 0 1.511056e+00 1.094771e+00 5.845368e-01 5.926405e-01 1.550489e+00 1.505044e+00 1.934905e+00 7.509674e-01 1.606326e+00 1.165444e+00 1.012811e+00 -5.262976e-02 1.451595e+00 7.531988e-01 9.416307e-01 1.095857e+00 1.462122e+00 1.320206e+00 
20 241  1.906947744692720770e+00 0 0 1.219511e+00 1.008613e+00 5.101611e-01 7.019612e-01 1.686459e+00 1.365504e+00 1.902768e+00 1.017392e+00 1.723389e+00 1.308219e+00 9.757645e-01 -7.437709e-02 1.595150e+00 7.469094e-01 1.302833e+00 1.022257e+00 1.703545e+00 1.493521e+00 
21 253  1.016751521134696246e+00 0 0 1.431619e+00 1.252467e+00 2.507342e-01 9.091151e-01 1.578051e+00 1.752305e+00 1.804419e+00 1.014821e+00 1.644581e+00 1.512728e+00 8.799228e-01 5.041782e-02 1.213485e+00 7.657029e-01 1.400756e+00 1.115762e+00 1.403270e+00 1.281006e+00 
22 265  1.941707279508399608e+00 0 0 1.397592e+00 9.869859e-01 6.841462e-02 8.810397e-01 1.877709e+00 1.516605e+00 2.137831e+00 1.135894e+00 1.835485e+00 1.477268e+00 1.034042e+00 2.203008e-02 1.317618e+00 9.350740e-01 1.596423e+00 1.118671e+00 1.506836e+00 1.525422e+00 
23 277  1.240969513952987047e+00 0 0 1.311785e+00 9.979843e-01 2.807874e-01 6.485107e-01 1.703208e+00 1.906833e+00 2.072321e+00 9.299158e-01 2.047198e+00 1.430067e+00 9.145508e-01 3.063114e-01 1.426800e+00 7.896602e-01 1.530498e+00 6.918816e-01 1.448784e+00 1.336962e+00 
24 289  9.903769970149920443e-01 0 0 1.126428e+00 9.387188e-01 4.065262e-01 8.622240e-01 1.797172e+00 1.815516e+00 2.108997e+00 1.008505e+00 1.818053e+00 1.221645e+00 1.179494e+00 3.869458e-01 1.214636e+00 6.448536e-01 1.134855e+00 1.028208e+00 1.488080e+00 1.525503e+00 
25 301  1.416557044678239397e+00 0 0 1.303263e+00 6.241112e-01 3.274651e-01 5.971643e-01 1.525871e+00 2.012902e+00 2.202794e+00 9.226013e-01 1.779169e+00 1.299648e+00 9.606523e-01 5.067551e-01 1.257129e+00 7.194990e-01 1.705238e+00 8.623014e-01 1.656299e+00 1.114547e+00 
26 313  1.370340672115803793e+00 0 0 1.671192e+00 1.096603e+00 3.328980e-01 4.085237e-01 1.637397e+00 1.786115e+00 2.067537e+00 9.308148e-01 1.832896e+00 1.227375e+00 9.596536e-01 4.159553e-01 1.088897e+00 5.689407e-01 1.324676e+00 7.308670e-01 1.388454e+00 1.034541e+00 
