%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=212695, 2017/09/27 23:0:50.97)
40 481 1.423936e-01 1.512924e+00  6.502530716059650162e-01  7.779533643212309668e-01  1.736435232478289015e+00  8.240609419029581773e+00
41 493 1.340664e-01 1.512681e+00  5.928741711714923257e-01  5.928741711714923257e-01  1.880832296602034992e+00  4.483084217450854503e+00
42 505 1.311979e-01 1.515621e+00  3.967044432202735393e-01  3.967044432202735393e-01  1.395245590235568489e+00  7.442112981010643225e+00
43 517 1.294758e-01 1.515719e+00  3.967044432202735393e-01  9.053484609638930980e-01  1.534017976199201438e+00  3.070576746512513555e+00
44 529 1.243256e-01 1.520051e+00  3.967044432202735393e-01  5.680968102950891829e-01  1.257893576347431042e+00  3.138125694597266868e+00
45 541 1.255969e-01 1.522756e+00  3.311142139114004457e-01  3.311142139114004457e-01  1.008277330895677171e+00  3.820488255842091174e+00
46 553 1.258307e-01 1.526295e+00  3.298131811908331379e-01  3.298131811908331379e-01  1.329260444432240007e+00  2.115608524224476206e+00
47 565 1.314736e-01 1.589171e+00  3.298131811908331379e-01  4.049651413424270596e-01  1.503451625534953262e+00  4.438820399696941976e+00
48 577 1.395214e-01 1.627993e+00  3.298131811908331379e-01  5.496400871115744158e-01  9.932741561173806799e-01  3.643013453812760982e+00
49 589 1.552744e-01 1.659721e+00  3.298131811908331379e-01  4.354631482998989056e-01  1.449970068185284067e+00  4.645824548576287683e+00
50 601 1.704195e-01 1.681487e+00  3.221112556887865130e-01  3.221112556887865130e-01  2.038099157046778132e+00  6.174685178384176965e+00
51 613 1.777395e-01 1.691570e+00  3.221112556887865130e-01  6.654056405195732937e-01  2.680350744050420619e+00  6.258673412334570862e+00
52 625 1.851404e-01 1.710335e+00  3.221112556887865130e-01  6.513406680365076973e-01  2.485601456773241846e+00  5.653278919564273863e+00
53 637 1.929170e-01 1.720340e+00  3.221112556887865130e-01  4.868205307022097639e-01  2.082013101612303352e+00  8.851576753676440035e+00
54 649 1.906704e-01 1.743730e+00  3.221112556887865130e-01  4.500259068564628762e-01  1.904432698465327700e+00  9.024115094266283776e+00
55 661 1.912505e-01 1.753450e+00  3.221112556887865130e-01  7.732826510912425011e-01  2.915419062144729345e+00  1.631570763767157928e+01
